"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate","thrpt",1,10,740.946036,113.894200,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate.norm","thrpt",1,10,3472.031463,0.005917,"B/op",1
"lab.jvm.serialization.KSweepBench.readKPoint:gc.count","thrpt",1,10,41.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKPoint:gc.time","thrpt",1,10,31.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKPoint","thrpt",1,10,100080.386905,27373.930029,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate","thrpt",1,10,516.987348,173.765800,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate.norm","thrpt",1,10,5384.071616,407.956047,"B/op",16
"lab.jvm.serialization.KSweepBench.readKPoint:gc.count","thrpt",1,10,35.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKPoint:gc.time","thrpt",1,10,34.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKPoint","thrpt",1,10,26091.720594,22973.123031,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate","thrpt",1,10,468.262303,412.331944,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate.norm","thrpt",1,10,18824.463662,0.700416,"B/op",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.count","thrpt",1,10,26.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.time","thrpt",1,10,40.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,10,37493.643960,9311.395068,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,10,621.207065,188.850333,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,17292.191944,1281.245106,"B/op",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,10,35.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,10,35.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,10,2671.207576,545.898166,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,10,564.667445,114.423118,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,221794.648329,408.418452,"B/op",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,10,29.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,10,34.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,10,319.282911,35.171173,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,10,532.994301,58.688743,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,1751189.946638,2.606895,"B/op",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,10,25.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,10,57.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,10,8651.635338,1572.976406,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,10,721.805347,131.112498,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,10,87520.817832,0.139583,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,10,34.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,10,41.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,10,322.026008,67.220417,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,10,416.933054,87.112143,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,10,1358294.028240,4.829107,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,10,23.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,10,26.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,10,39.241691,10.220685,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,10,405.707370,105.672786,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,10,10845443.280562,42.759165,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,10,26.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,10,35.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,10,674333.107503,99367.276032,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,10,1861.433027,274.231501,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,10,2896.010406,0.001658,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,10,67.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,10,98.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,10,121042.954736,15928.742192,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,10,587.965896,77.441904,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,10,5096.057804,0.007309,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,10,27.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,10,29.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,10,27212.138981,27899.994888,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,10,599.342986,614.585623,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,10,23104.350568,0.236387,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,10,28.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,10,25.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,10,189750.864359,74980.361475,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,10,894.334024,353.403147,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,10,4944.039213,0.015901,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,10,41.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,10,39.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,10,25274.027251,20500.045909,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,10,600.874674,487.450858,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,10,24936.360597,0.282293,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,10,41.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,10,26.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,10,1874.985323,827.382979,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,10,315.470147,139.280781,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,10,176507.915964,1.124357,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,10,18.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,10,39.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,10,1343162.591056,333435.868119,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,10,3318.752653,823.664922,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,10,2592.005324,0.001223,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,10,116.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,10,114.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,10,395232.657125,305971.483837,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,10,1407.791928,1090.079747,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,10,3736.023242,0.018213,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,10,65.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,10,44.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,10,27911.038780,6119.792840,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,10,369.829234,80.988986,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,10,13904.255169,0.056461,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,10,21.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,10,22.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,10,67641.869956,16099.980745,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,10,516.327106,122.949797,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,8008.104788,0.022751,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,10,29.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,10,28.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,10,3537.948293,682.554133,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,10,306.877467,59.245365,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,90993.999552,0.340876,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,10,21.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,10,25.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,10,444.854782,67.102242,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,10,301.379533,45.456242,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,10,710735.834049,2.348263,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,10,17.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,10,23.000000,NaN,"ms",128
