"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.KSweepBench.readKPoint:gc.count","thrpt",1,12,82.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKPoint:gc.time","thrpt",1,12,41.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKPoint","thrpt",1,12,54315.644199,1276.325990,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate","thrpt",1,12,970.087254,22.745369,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.alloc.rate.norm","thrpt",1,12,18732.129752,16.053781,"B/op",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.count","thrpt",1,12,65.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKPoint:gc.time","thrpt",1,12,34.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,12,109322.158706,2406.319880,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,12,1193.684862,26.005772,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,11452.064398,16.053830,"B/op",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,12,98.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,12,48.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,12,8730.797464,245.371289,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,12,1131.569357,31.847033,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,135932.807257,16.053113,"B/op",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,12,84.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,12,43.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKUnicodeList","thrpt",1,12,1113.707509,26.887156,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate","thrpt",1,12,1132.397359,26.551003,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,1066400.247711,2739.869733,"B/op",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.count","thrpt",1,12,75.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKUnicodeList:gc.time","thrpt",1,12,44.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,12,25703.060799,396.533414,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,12,2144.806021,33.092667,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,12,87520.274073,0.004646,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,12,119.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,12,67.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,12,1100.356634,17.139788,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,12,1425.024245,22.173586,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,12,1358278.395027,0.095770,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,12,96.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,12,50.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKAnalytics","thrpt",1,12,102.103048,1.708571,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate","thrpt",1,12,1055.718391,17.677916,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.alloc.rate.norm","thrpt",1,12,10845332.687359,1.212850,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.count","thrpt",1,12,88.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKAnalytics:gc.time","thrpt",1,12,54.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,12,1935449.511727,78139.054578,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,12,5344.292719,215.681089,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,12,2896.003631,0.000153,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,12,216.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,12,144.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,12,371663.839873,11498.240131,"ops/s",16
