"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer","thrpt",1,24,1243833.674755,155402.026197,"ops/s"
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.alloc.rate","thrpt",1,24,341.577890,42.676095,"MB/sec"
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.alloc.rate.norm","thrpt",1,24,288.002900,0.000435,"B/op"
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.count","thrpt",1,24,112.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.reuseWriteCustomer:gc.time","thrpt",1,24,87.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.reuseWriteOrder","thrpt",1,24,229570.467826,19182.868217,"ops/s"
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.alloc.rate","thrpt",1,24,239.905924,20.050100,"MB/sec"
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.alloc.rate.norm","thrpt",1,24,1096.015427,0.001400,"B/op"
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.count","thrpt",1,24,80.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.reuseWriteOrder:gc.time","thrpt",1,24,78.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeAnalytics","thrpt",1,24,11981.432916,4789.586505,"ops/s"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate","thrpt",1,24,1032.858078,412.934225,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate.norm","thrpt",1,24,90408.364603,0.120142,"B/op"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.count","thrpt",1,24,230.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.time","thrpt",1,24,202.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeConfigMap","thrpt",1,24,380957.671353,24001.324190,"ops/s"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate","thrpt",1,24,2926.417421,184.422018,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate.norm","thrpt",1,24,8056.009292,0.000667,"B/op"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.count","thrpt",1,24,536.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.time","thrpt",1,24,363.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeCustomer","thrpt",1,24,889646.575541,66645.285233,"ops/s"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate","thrpt",1,24,2463.357035,184.539399,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate.norm","thrpt",1,24,2904.003969,0.000327,"B/op"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.count","thrpt",1,24,412.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.time","thrpt",1,24,409.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeDerived","thrpt",1,24,875433.210476,40199.403230,"ops/s"
"lab.jvm.serialization.SerializationBench.writeDerived:gc.alloc.rate","thrpt",1,24,3058.456564,140.430645,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeDerived:gc.alloc.rate.norm","thrpt",1,24,3664.004010,0.000188,"B/op"
"lab.jvm.serialization.SerializationBench.writeDerived:gc.count","thrpt",1,24,500.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeDerived:gc.time","thrpt",1,24,500.000000,NaN,"ms"
