"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.alloc.rate.norm","thrpt",1,10,11552.016795,0.002624,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.count","thrpt",1,10,109.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.time","thrpt",1,10,193.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,10,81702.046076,17552.225621,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,10,1128.262134,242.423460,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,10,14488.087062,0.018863,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,10,44.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,10,57.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096","thrpt",1,10,264420.276133,47611.208013,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.alloc.rate","thrpt",1,10,3683.597397,664.465750,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.alloc.rate.norm","thrpt",1,10,14616.026703,0.004568,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.count","thrpt",1,10,105.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.time","thrpt",1,10,121.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,10,91464.271282,64024.097856,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,10,1620.310247,1134.722171,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,10,18584.084998,0.032965,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,10,64.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,10,56.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,10,38153.956383,7659.367968,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,10,675.924268,135.667300,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,10,18584.184539,0.033386,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,10,32.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,10,34.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk350","thrpt",1,10,214991.572576,52284.768736,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.alloc.rate","thrpt",1,10,2372.274524,577.074571,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.alloc.rate.norm","thrpt",1,10,11576.033146,0.008161,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.count","thrpt",1,10,76.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.time","thrpt",1,10,107.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,10,28007.510625,3137.981487,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,10,496.096257,55.689266,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,10,18584.249983,0.027354,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,10,23.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,10,31.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeNul32","thrpt",1,10,45350.927483,5383.770325,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.alloc.rate","thrpt",1,10,629.077548,74.648912,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.alloc.rate.norm","thrpt",1,10,14552.154773,0.017301,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.count","thrpt",1,10,29.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.time","thrpt",1,10,37.000000,NaN,"ms"
